day,S,E,I,R,I_rep,new_rep
71,31793416.149328467,12593.99649967698,15243.94175192862,28894.912419927303,1524.3941751928621,152.43941751928622
72,31790117.878773194,13397.945334304726,16168.170501268709,30465.005391231596,1616.817050126871,161.6817050126871
73,31786601.654129885,14259.974746555585,17156.6786478402,32130.692475717427,1715.66786478402,171.566786478402
74,31782851.323600527,15184.660985765873,18214.368603767707,33898.646809935504,1821.4368603767707,182.14368603767707
75,31778849.46371395,16176.930848399777,19346.55645922715,35776.04897841665,1934.6556459227152,193.46556459227153
76,31774576.733642206,17242.610514198324,20559.02249971297,37770.63334388034,2055.902249971297,205.5902249971297
77,31770012.217153188,18387.917868565528,21858.124488483052,39890.740489764015,2185.8124488483054,218.58124488483054
78,31765133.80916873,19619.081952908567,23250.734222383224,42145.37465597732,2325.0734222383226,232.50734222383227
79,31759917.627989803,20942.853374733626,24744.267362689356,44544.251272772875,2474.4267362689357,247.44267362689357
80,31754337.869769447,22366.5707127567,26346.702003625527,47097.857514171825,2634.670200362553,263.4670200362553
81,31748366.66913622,23898.143975058618,28066.67711670253,49817.509772017474,2806.667711670253,280.66677116702533
82,31741973.94730264,25546.151790767773,29913.48193611394,52715.418970478546,2991.3481936113944,299.1348193611395
83,31735127.230821557,27319.824470200983,31897.176040214516,55804.76866802555,3189.7176040214517,318.9717604021452
84,31727791.503873058,29229.093137546326,34028.62267877663,59099.780310616334,3402.862267877663,340.2862267877663
85,31719929.00900522,31284.705301613485,36319.4817742383,62615.80391892616,3631.94817742383,363.19481774238307
86,31711499.04486683,33498.14220329136,38782.40064791838,66369.412281959,3878.2400647918384,387.8240064791839
87,31702457.803033955,35881.71462331528,41431.00353777167,70378.47880495794,4143.100353777168,414.31003537771676
88,31692758.154168546,38448.69955904142,44279.86253105807,74662.28374135235,4427.986253105807,442.79862531058075
89,31682349.393277474,41213.216287974545,47344.74101647558,79241.64941807179,4734.474101647558,473.44741016475587
90,31671177.11531453,44190.273986746506,50642.60411269037,84139.00658603295,5064.260411269038,506.4260411269038
91,31659182.961485997,47395.943995698435,54191.55412739498,89378.5403909114,5419.155412739498,541.9155412739499
92,31646304.406951778,50847.233921152794,58011.02929339172,94986.32983367216,5801.102929339173,580.1102929339173
93,31632472.562932145,54563.84633440551,62122.11293933933,100990.47779410478,6212.211293933933,621.2211293933933
94,31617674.06104219,58510.606727762286,66543.22934961026,107421.10288044119,6654.3229349610265,665.4322934961027
95,31601874.86151889,62679.241144892665,71285.09262063853,114309.80471557776,7128.509262063853,712.8509262063853
96,31585016.54794646,67084.13231955055,76359.12898638964,121689.19074759894,7635.912898638964,763.5912898638965
97,31567039.989835307,71737.87062309397,81778.01662819546,129593.12291340642,8177.801662819546,817.7801662819547
98,31547883.647084586,76652.95787384357,87555.64368384426,138056.7513577232,8755.564368384426,875.5564368384427
99,31527485.242249943,81840.42969450972,93706.6390197777,147116.68903576504,9370.66390197777,937.0663901977771
100,31505782.50052666,87309.35421008251,100246.11910145306,156811.02616179863,10024.611910145308,1002.4611910145309
101,31498882.368062936,78339.9830549498,105794.64699897004,167132.00188314638,10579.464699897006,1057.9464699897005
102,31491705.31026414,71187.78765784849,109352.17761037828,177903.7244676264,10935.217761037828,1093.5217761037827
103,31484360.659668244,65436.171739175894,111399.9219022012,188952.24669037116,11139.99219022012,1113.999219022012
104,31476931.634673297,60765.02855684408,112306.54164024975,200145.79512960295,11230.654164024976,1123.0654164024977
105,31469480.499186244,56929.2067890921,112354.30364777875,211384.99037688173,11235.430364777876,1123.5430364777876
106,31462053.73793277,53740.76202384769,111759.22133432805,222595.27870905047,11175.922133432805,1117.5922133432805
107,31454685.958373025,51055.21505386134,110686.83801733627,233720.98855577517,11068.683801733627,1106.8683801733628
108,31447402.688895833,48761.57349033836,109263.75287639648,244720.98473742843,10926.375287639648,1092.6375287639648
109,31440222.516761523,46774.63212674201,107586.55307255274,255565.29803917435,10758.655307255274,1075.8655307255274
110,31433158.848452333,45028.586463923886,105729.24393010995,266232.32115362666,10572.924393010995,1057.2924393010996
111,31426221.016620822,43472.984130216835,103747.97389938054,276707.02534957527,10374.797389938054,1037.4797389938055
112,31419415.37889393,42068.77199155007,101685.6171432546,286979.2319712618,10168.56171432546,1016.856171432546
113,31412746.066101704,40785.782944566425,99574.61475100495,297042.53620272025,9957.461475100496,995.7461475100496
114,31406215.39122194,39600.765173289095,97439.48316896317,306893.36043579626,9743.948316896318,974.3948316896318
115,31399824.29287606,38495.755636977796,95298.69871984042,316530.2527671144,9529.869871984043,952.9869871984043
116,31393572.715072565,37456.847945603324,93166.06092822782,325953.3760535991,9316.606092822782,931.6606092822782
117,31387459.836894304,36473.254835962536,91051.82227326276,335164.08599646884,9105.182227326277,910.5182227326277
118,31381484.28719988,35536.54846084736,88963.55617946584,344164.6081598003,8896.355617946585,889.6355617946585
119,31375644.266190674,34640.21663355196,86906.66813214161,352957.8490436277,8690.666813214162,869.0666813214162
120,31369937.75957065,33778.992380370335,84885.1243433535,361547.1237056157,8488.512434335351,848.8512434335352
121,31364362.47514174,32948.8814106184,82901.50656904839,369936.13687858277,8290.15065690484,829.015065690484
122,31358915.997501787,32146.614625437993,80957.63055196694,378128.7573208025,8095.763055196694,809.5763055196694
123,31353595.816037662,31369.618271113268,79054.54584994714,386129.01984127687,7905.454584994714,790.5454584994715
124,31348399.356023572,30615.842764919333,77192.7547314037,393941.0464800979,7719.275473140369,771.9275473140369
125,31343324.036244914,29883.548620133686,75372.45609034237,401568.9590446049,7537.2456090342375,753.7245609034238
126,31338367.20689728,29171.411396878273,73593.47102608462,409016.9106797496,7359.347102608463,735.9347102608463
127,31333526.2591699,28478.29232718149,71855.4270172214,416289.02148569317,7185.542701722141,718.5542701722142
128,31328798.702321272,27803.11321122763,70157.8350562592,423389.34941123705,7015.78350562592,701.578350562592
129,31324182.017105993,27145.03965013145,68500.03066001461,430321.9125838586,6850.003066001462,685.0003066001462
130,31319673.78614448,26503.289471841515,66881.26671768738,437090.65766598243,6688.126671768739,668.8126671768739
131,31315271.65049926,25877.151504220696,65300.752986274674,443699.4450102382,6530.075298627467,653.0075298627468
132,31310973.366367213,25265.91411092912,63757.65497429532,450152.06454755535,6375.765497429533,637.5765497429534
133,31306780.643336255,24665.41173174462,62250.75290060665,456452.1920313908,6225.075290060665,622.5075290060665
