day,city,S,E,I,R,I_rep,new_rep
0,Schertz,43128.00,0.00,0.00,0.00,0.00,0.00
0,Coppell,42029.00,0.00,0.00,0.00,0.00,0.00
0,Weslaco,41437.00,0.00,0.00,0.00,0.00,0.00
0,Friendswood,40827.00,0.00,0.00,0.00,0.00,0.00
0,Lancaster,40753.00,0.00,0.00,0.00,0.00,0.00
0,Hurst,39912.00,0.00,0.00,0.00,0.00,0.00
0,Duncanville,39879.00,0.00,0.00,0.00,0.00,0.00
0,Rosenberg,39467.00,0.00,0.00,0.00,0.00,0.00
0,Mission Bend,37280.00,0.00,0.00,0.00,0.00,0.00
0,Midlothian,37256.00,0.00,0.00,0.00,0.00,0.00
0,Copperas Cove,37149.00,0.00,0.00,0.00,0.00,0.00
0,Farmers Branch,36254.00,0.00,0.00,0.00,0.00,0.00
0,Socorro,36237.00,0.00,0.00,0.00,0.00,0.00
0,La Porte,36077.00,0.00,0.00,0.00,0.00,0.00
0,San Juan,35674.00,0.00,0.00,0.00,0.00,0.00
0,Timberwood Park,34980.00,0.00,0.00,0.00,0.00,0.00
0,Del Rio,34638.00,0.00,0.00,0.00,0.00,0.00
0,Prosper,34567.00,0.00,0.00,0.00,0.00,0.00
0,Lufkin,34158.00,0.00,0.00,0.00,0.00,0.00
0,Weatherford,33924.00,0.00,0.00,0.00,0.00,0.00
0,Cibolo,33829.00,0.00,0.00,0.00,0.00,0.00
0,Deer Park,33823.00,0.00,0.00,0.00,0.00,0.00
0,Harker Heights,33595.00,0.00,0.00,0.00,0.00,0.00
0,Cleburne,32966.00,0.00,0.00,0.00,0.00,0.00
0,Canyon Lake,32924.00,0.00,0.00,0.00,0.00,0.00
0,Hutto,32188.00,0.00,0.00,0.00,0.00,0.00
0,Nacogdoches,32104.00,0.00,0.00,0.00,0.00,0.00
0,West Odessa,31985.00,0.00,0.00,0.00,0.00,0.00
0,Seguin,31789.00,0.00,0.00,0.00,0.00,0.00
0,Southlake,31044.00,0.00,0.00,0.00,0.00,0.00
0,Greenville,29936.00,0.00,0.00,0.00,0.00,0.00
0,Sachse,29075.00,0.00,0.00,0.00,0.00,0.00
0,Converse,28764.00,0.00,0.00,0.00,0.00,0.00
0,Forney,28222.00,0.00,0.00,0.00,0.00,0.00
0,Eagle Pass,28186.00,0.00,0.00,0.00,0.00,0.00
0,Lake Jackson,27902.00,0.00,0.00,0.00,0.00,0.00
0,Alvin,27700.00,0.00,0.00,0.00,0.00,0.00
0,Balch Springs,27181.00,0.00,0.00,0.00,0.00,0.00
0,Celina,27141.00,0.00,0.00,0.00,0.00,0.00
0,Fulshear,26986.00,0.00,0.00,0.00,0.00,0.00
0,Colleyville,25906.00,0.00,0.00,0.00,0.00,0.00
0,Fort Hood,25786.00,0.00,0.00,0.00,0.00,0.00
0,Denison,25347.00,0.00,0.00,0.00,0.00,0.00
0,Corsicana,25344.00,0.00,0.00,0.00,0.00,0.00
0,University Park,25104.00,0.00,0.00,0.00,0.00,0.00
0,Kingsville,25061.00,0.00,0.00,0.00,0.00,0.00
0,Pecan Grove,24798.00,0.00,0.00,0.00,0.00,0.00
0,Big Spring,24769.00,0.00,0.00,0.00,0.00,0.00
0,Paris,24678.00,0.00,0.00,0.00,0.00,0.00
0,San Benito,24677.00,0.00,0.00,0.00,0.00,0.00
0,Cloverleaf,24630.00,0.00,0.00,0.00,0.00,0.00
0,Kerrville,24532.00,0.00,0.00,0.00,0.00,0.00
0,Saginaw,24467.00,0.00,0.00,0.00,0.00,0.00
0,Benbrook,24430.00,0.00,0.00,0.00,0.00,0.00
0,Fresno,24087.00,0.00,0.00,0.00,0.00,0.00
0,Katy,23900.00,0.00,0.00,0.00,0.00,0.00
0,Belton,23769.00,0.00,0.00,0.00,0.00,0.00
0,Marshall,23646.00,0.00,0.00,0.00,0.00,0.00
0,Watauga,23336.00,0.00,0.00,0.00,0.00,0.00
0,Horizon City,23069.00,0.00,0.00,0.00,0.00,0.00
0,Corinth,22868.00,0.00,0.00,0.00,0.00,0.00
0,Dickinson,21612.00,0.00,0.00,0.00,0.00,0.00
0,Ennis,21546.00,0.00,0.00,0.00,0.00,0.00
0,Stephenville,21345.00,0.00,0.00,0.00,0.00,0.00
0,Murphy,21001.00,0.00,0.00,0.00,0.00,0.00
0,Anna,20975.00,0.00,0.00,0.00,0.00,0.00
0,Princeton,20966.00,0.00,0.00,0.00,0.00,0.00
0,Brushy Creek,20953.00,0.00,0.00,0.00,0.00,0.00
